Timestamp,Open,High,Low,Close,Volume
2023-10-08 00:00:00,3.094,3.139,3.054,3.091,660341.38
2023-10-09 00:00:00,3.091,3.12,2.869,2.923,1745125.08
2023-10-10 00:00:00,2.924,2.985,2.916,2.971,905200.69
2023-10-11 00:00:00,2.972,2.984,2.875,2.934,1162527.9
2023-10-12 00:00:00,2.934,2.94,2.871,2.927,894924.89
2023-10-13 00:00:00,2.927,3.091,2.922,3.061,1290782.21
2023-10-14 00:00:00,3.06,3.131,3.045,3.102,1300863.64
2023-10-15 00:00:00,3.103,3.209,3.095,3.151,1273049.4
2023-10-16 00:00:00,3.151,3.266,3.116,3.159,1815828.35
2023-10-17 00:00:00,3.16,3.184,3.03,3.068,1122261.44
2023-10-18 00:00:00,3.068,3.161,3.046,3.055,1539423.91
2023-10-19 00:00:00,3.054,3.067,2.955,2.999,1090548.51
2023-10-20 00:00:00,2.999,3.154,2.987,3.124,1329118.61
2023-10-21 00:00:00,3.123,3.251,3.12,3.222,1210851.52
2023-10-22 00:00:00,3.221,3.243,3.11,3.233,1120555.79
2023-10-23 00:00:00,3.234,3.522,3.203,3.519,3878378.69
2023-10-24 00:00:00,3.518,3.665,3.43,3.601,3746013.11
2023-10-25 00:00:00,3.604,3.705,3.509,3.569,2215449.43
2023-10-26 00:00:00,3.569,3.711,3.431,3.543,3178319.63
2023-10-27 00:00:00,3.543,3.57,3.437,3.509,1471207.78
2023-10-28 00:00:00,3.509,3.767,3.505,3.71,1500556.59
2023-10-29 00:00:00,3.709,4.23,3.664,4.025,4903186.75
2023-10-30 00:00:00,4.025,4.081,3.902,4.037,2836564.1
2023-10-31 00:00:00,4.037,4.12,3.793,3.942,2031902.68
2023-11-01 00:00:00,3.941,4.08,3.767,4.072,2082912.68
2023-11-02 00:00:00,4.072,4.171,3.878,4.019,2535622.19
2023-11-03 00:00:00,4.019,4.02,3.802,3.946,1924084.67
2023-11-04 00:00:00,3.943,4.058,3.848,4.018,1554010.86
2023-11-05 00:00:00,4.016,4.209,3.971,4.06,2230779.69
2023-11-06 00:00:00,4.061,4.3,3.984,4.259,2294539.04
2023-11-07 00:00:00,4.259,4.277,4.033,4.189,2298981.47
2023-11-08 00:00:00,4.189,4.29,4.114,4.264,2157526.88
2023-11-09 00:00:00,4.265,4.416,3.699,4.089,5139375.52
2023-11-10 00:00:00,4.087,4.388,3.975,4.38,3318643.81
2023-11-11 00:00:00,4.381,4.568,4.23,4.462,4116879.51
2023-11-12 00:00:00,4.462,4.711,4.279,4.672,3721244.44
2023-11-13 00:00:00,4.67,4.96,4.505,4.514,6613068.38
2023-11-14 00:00:00,4.517,4.554,4.11,4.271,4038657.14
2023-11-15 00:00:00,4.27,4.79,4.217,4.735,3576698.55
2023-11-16 00:00:00,4.734,4.796,4.281,4.401,4823360.17
2023-11-17 00:00:00,4.399,4.519,4.155,4.336,3572132.27
2023-11-18 00:00:00,4.332,4.342,4.017,4.316,2485707.78
2023-11-19 00:00:00,4.316,4.626,4.234,4.58,2855134.69
2023-11-20 00:00:00,4.582,4.612,4.375,4.533,3053448.57
2023-11-21 00:00:00,4.531,4.7,4.05,4.079,3823250.91
2023-11-22 00:00:00,4.079,4.522,4.073,4.438,2122625.81
2023-11-23 00:00:00,4.44,4.643,4.434,4.597,2359648.47
2023-11-24 00:00:00,4.599,4.693,4.516,4.606,1595386.37
2023-11-25 00:00:00,4.604,4.786,4.569,4.721,1894814.12
2023-11-26 00:00:00,4.72,4.771,4.49,4.653,2004074.18
2023-11-27 00:00:00,4.653,4.715,4.355,4.478,2146494.79
2023-11-28 00:00:00,4.478,4.653,4.401,4.582,1564275.73
2023-11-29 00:00:00,4.585,4.676,4.456,4.513,1462662.63
2023-11-30 00:00:00,4.51,4.578,4.439,4.562,1210817.02
2023-12-01 00:00:00,4.562,4.837,4.525,4.69,2487151.99
2023-12-02 00:00:00,4.689,4.882,4.666,4.835,1410499.58
2023-12-03 00:00:00,4.834,4.864,4.648,4.711,1629730.48
2023-12-04 00:00:00,4.712,5.252,4.68,5.128,5506550.2
2023-12-05 00:00:00,5.13,5.2,4.902,5.112,2510920.86
2023-12-06 00:00:00,5.112,5.3,4.82,4.892,3876079.08
2023-12-07 00:00:00,4.889,5.09,4.766,5.064,2655945.99
2023-12-08 00:00:00,5.062,5.281,5.024,5.217,2071608.62
